CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Next Week Volume Prediction,Next Month Volume Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
%5EJ300.JO,Capped Top 40 Index,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,37355.47,37355.47,0.0,0.0,inf,inf,-0.11,0.0,1.0,1.0,0.91,0.98,1.0,1.0,1.18
%5ETNX,CBOE Interest Rate 10 Year T No,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,4.0,4.0,-0.03,-0.03,inf,inf,-0.43,-0.02,0.98,0.96,0.83,0.83,0.96,0.9,1.01
4SI.JO,4Sight,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,74.0,74.0,0.02,0.02,0.45,0.49,-0.94,0.03,1.03,1.1,0.84,0.6,1.1,0.93,0.79
ABG.JO,ABSA GROUP LTD,Banks,558.0,0.0216,87133.85,156.18,STXFIN,%5EJ300,15153.0,15153.0,0.06,0.14,0.28,0.3,-1.11,-0.02,0.98,0.98,0.88,0.82,0.98,0.97,1.02
ACT.JO,Afrocentric,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,279.0,279.0,-0.01,-0.01,-0.88,-0.96,0.95,-0.03,0.97,1.01,0.95,0.75,1.01,1.05,0.94
ADH.JO,ADVTECH,Consumer Services,351.0,0.0026,10526.51,29.95,STXFIN,%5EJ300,2936.0,2936.0,0.02,0.06,-0.12,-0.14,-0.58,0.02,1.02,0.98,0.94,0.96,0.98,1.04,1.16
ADR.JO,Adcorp Holdings,Support Services,,0.0,,,STXFIN,%5EJ300,483.0,483.0,-0.02,-0.02,-0.88,-0.96,1.19,0.06,1.06,1.08,1.01,1.05,1.08,1.11,1.25
AEG.JO,Aveng,Construction & Materials,,0.0,,,STXFIN,%5EJ300,805.0,805.0,-0.5,-0.54,-0.88,-0.96,-0.82,0.08,1.08,1.08,1.22,1.13,1.08,1.34,1.33
AEL.JO,Altron,General Industrials,,0.0,,,STXFIN,%5EJ300,1565.0,1565.0,0.05,0.05,5.43,5.49,-1.29,0.08,1.08,1.08,1.23,1.45,1.08,1.36,1.65
AFE.JO,AECI,Chemicals,73.0,0.002,7907.98,107.79,STXFIN,%5EJ300,10350.0,10350.0,0.0,0.0,-0.21,-0.49,0.1,-0.01,0.99,0.99,0.96,0.96,0.99,1.06,1.16
