CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,Sector RSI 1m,Sector RSI 3m,Sector RSI 6m,Market RSI 1m,Market RSI 3m,Market RSI 6m
ARL.JO,ASTRAL,Food Producers,25.0,0.0011,4349.38,171.85,STXFIN,STXCAP,0,,,,,,,,1.03,1.0,0.97,1.03,1.1,1.17
AVI.JO,AVI LIMITED,Food Producers,224.0,0.0053,21544.49,95.99,STXFIN,STXCAP,0,,,,,,,,1.01,0.99,1.05,1.01,1.08,1.26
CKS.JO,Crookes Brothers,Food Producers,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.2,1.25,1.0,1.2,1.37,1.2
LBR.JO,Libstar Holdings,Food Producers,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.97,0.85,1.06,0.97,0.94,1.26
OCE.JO,OCEANA,Food Producers,59.0,0.001,4187.89,71.49,STXFIN,STXCAP,0,,,,,,,,0.93,0.81,0.85,0.93,0.89,1.05
QFH.JO,Quantum Food,Food Producers,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.67,0.57,2.14,0.67,0.63,2.36
RBO.JO,Rainbow Chicken,Food Producers,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.83,,,0.83,,
RFG.JO,RFG Holdings,Food Producers,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.98,1.02,1.02,0.98,1.12,1.22
SHG.JO,Sea Harvest,Food Producers,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.0,0.92,0.81,1.0,1.01,1.01
TBS.JO,TIGBRANDS,Food Producers,106.0,0.0056,22486.02,212.0,STXFIN,STXCAP,0,,,,,,,,1.09,0.96,0.94,1.09,1.05,1.14
AEL.JO,Altron,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.14,1.25,1.49,1.14,1.37,1.69
ART.JO,Argent,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.04,1.05,1.3,1.04,1.16,1.5
BAW.JO,BARWORLD,General Industrials,122.0,0.0027,10983.75,89.72,STXFIN,STXCAP,0,,,,,,,,1.0,0.89,1.08,1.0,0.97,1.28
BEL.JO,Bell,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.69,1.62,1.9,1.7,1.78,2.11
BVT.JO,BIDVEST GROUP LIMITED,General Industrials,229.0,0.0162,65250.09,284.99,STXFIN,STXCAP,0,,,,,,,,0.96,0.97,1.0,0.96,1.06,1.2
BCF.JO,Bowler Metcalf,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.0,0.91,0.97,1.0,0.99,1.17
CAC.JO,CAFCA,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.98,1.38,1.81,0.98,1.51,2.02
ENX.JO,ENX Group,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.55,0.53,0.55,0.55,0.58,0.74
ISB.JO,Insimbi,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.96,0.96,0.74,0.96,1.06,0.94
KAP.JO,KAP INDUSTRIAL HOLDINGS LTD,General Industrials,1649.0,0.0012,4700.99,2.85,STXFIN,STXCAP,0,,,,,,,,1.03,1.02,1.22,1.03,1.12,1.43
MTA.JO,Metair Holdings,General Industrials,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.25,1.03,0.86,1.25,1.13,1.06
