code,share_name,industry,sub_industry,rsi_comparison_market,rsi_comparison_sector,commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
4SI.JO,4Sight Holdings Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,75.0,75.0,-0.79,-0.89,0.94,0.01,1.01,0.9,0.86,0.81,0.93,0.94,1.01
ABG.JO,Absa Group Limited,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,15776.0,15776.0,-0.08,0.3,1.38,-0.01,0.99,0.95,0.88,0.85,0.98,0.97,1.05
ACT.JO,AfroCentric Inv Corp Ltd,Healthcare,Healthcare Providers,%5EJ300.JO,STXFIN.JO,False,280.0,280.0,-0.78,-0.74,1.14,-0.01,0.99,0.98,0.87,0.79,1.0,0.95,0.99
ADH.JO,ADvTECH Ltd,Consumer Discrescretionary,Consumer Services,%5EJ300.JO,STXFIN.JO,False,3050.0,3050.0,-0.0,0.02,1.65,0.0,1.0,0.95,1.02,0.99,0.98,1.12,1.19
ADR.JO,Adcorp Holdings Limited,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,443.0,443.0,-0.85,-0.89,-0.77,0.05,1.05,1.1,0.93,1.05,1.13,1.03,1.25
ADW.JO,African Dawn Capital Ltd,Financials,Finance and Credit Services,%5EJ300.JO,STXFIN.JO,False,0.09,0.09,-1.0,-1.0,-0.22,-0.68,0.32,0.01,0.01,0.01,0.01,0.01,0.19
AEG.JO,Aveng Group Limited,Industrials,Construction Materials,%5EJ300.JO,STXFIN.JO,False,1000.0,1000.0,-1.02,-1.44,2.53,0.08,1.08,1.19,1.47,1.16,1.22,1.62,1.37
AEL.JO,Altron Limited,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,1725.0,1725.0,-0.5,-0.8,1.37,0.06,1.06,1.04,1.23,1.52,1.07,1.34,1.74
AFE.JO,AECI Limited,Basic Materials,Chemicals,%5EJ300.JO,STXFIN.JO,False,10700.0,10700.0,-0.15,-0.23,2.28,-0.02,0.98,0.94,0.96,0.98,0.97,1.05,1.18
AFH.JO,Alexander Forbes Grp Hldgs,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,684.0,684.0,-0.1,-0.21,2.36,-0.01,0.99,0.96,1.0,1.0,0.98,1.1,1.2
