CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Next Week Volume Prediction,Next Month Volume Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
%5EJ300.JO,Capped Top 40 Index,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,37355.47,37355.47,0.0,0.0,inf,inf,-0.11,0.0,1.0,1.0,0.91,0.97,1.0,1.0,1.18
%5ETNX,CBOE Interest Rate 10 Year T No,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,4.0,4.0,-0.03,-0.03,inf,inf,-0.43,-0.02,0.98,0.94,0.81,0.83,0.95,0.88,1.03
4SI.JO,4Sight,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,74.0,74.0,-0.01,-0.05,1.11,1.22,-0.94,0.03,1.03,1.12,0.85,0.64,1.12,0.94,0.84
ABG.JO,ABSA GROUP LTD,Banks,558.0,0.0216,87133.85,156.18,STXFIN,%5EJ300,15153.0,15153.0,-0.0,-0.0,0.79,0.87,-1.11,-0.02,0.98,0.98,0.89,0.82,0.98,0.97,1.02
ACT.JO,Afrocentric,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,279.0,279.0,0.01,0.04,inf,inf,0.87,-0.02,0.98,1.01,0.99,0.74,1.02,1.09,0.94
ADH.JO,ADVTECH,Consumer Services,351.0,0.0026,10526.51,29.95,STXFIN,%5EJ300,2936.0,2936.0,-0.0,-0.01,-0.21,-0.23,-0.58,0.02,1.02,1.0,0.97,0.95,1.0,1.07,1.16
ADR.JO,Adcorp Holdings,Support Services,,0.0,,,STXFIN,%5EJ300,483.0,483.0,-0.06,-0.06,-0.88,-0.96,1.19,0.06,1.06,1.13,1.09,1.12,1.14,1.2,1.33
AEG.JO,Aveng,Construction & Materials,,0.0,,,STXFIN,%5EJ300,805.0,805.0,0.01,-0.01,0.5,0.55,-0.82,0.08,1.08,1.1,1.26,1.0,1.1,1.38,1.21
AEL.JO,Altron,General Industrials,,0.0,,,STXFIN,%5EJ300,1565.0,1565.0,0.05,0.08,6.53,9.36,-1.29,0.08,1.08,1.07,1.2,1.41,1.07,1.31,1.63
AFE.JO,AECI,Chemicals,73.0,0.002,7907.98,107.79,STXFIN,%5EJ300,10350.0,10350.0,0.0,0.0,-0.09,-0.32,0.1,-0.01,0.99,0.97,0.97,0.96,0.97,1.06,1.17
AFH.JO,ALEXANDER FORBES GROUP HOLDINGS,Investment Banking and Brokerage Service,103.0,0.0002,752.53,7.31,STXFIN,%5EJ300,667.0,667.0,-0.01,-0.04,-0.87,-0.95,1.08,-0.06,0.94,0.92,0.95,0.92,0.92,1.04,1.12
AFT.JO,AFRIMAT LTD,Industrial Metals & Mining,79.0,0.0014,5794.38,73.07,STXRES,%5EJ300,6414.0,6414.0,0.03,0.03,-0.48,-0.52,-2.52,-0.03,0.97,0.96,1.04,0.9,0.91,0.94,1.12
AGL.JO,ANGLO,Industrial Metals & Mining,278.0,0.0383,154135.89,554.01,STXRES,%5EJ300,51891.0,51891.0,0.0,0.0,0.2,0.22,-0.9,-0.03,0.97,0.98,0.93,1.07,0.93,0.84,1.3
AIL.JO,African Rainbow Investements,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,663.0,663.0,0.01,0.01,-0.15,-0.16,0.38,0.01,1.01,1.04,1.06,1.23,1.04,1.16,1.44
AIP.JO,ADCOCK INGRAM,Pharmaceuticals & Biotechnology,46.0,0.0007,2707.49,59.5,STXFIN,%5EJ300,5705.0,5705.0,-0.01,-0.01,-0.26,-0.28,-1.17,-0.02,0.98,0.97,0.93,0.93,0.97,1.02,1.14
AME.JO,Africa media Entertainment,Media,,0.0,,,STXFIN,%5EJ300,4100.0,4100.0,0.07,0.06,inf,inf,-0.46,-0.01,0.99,1.09,1.02,1.12,1.09,1.12,1.33
AMS.JO,ANGLOPLAT,Precious Metals and Mining,39.0,0.0062,24893.42,644.5,STXRES,%5EJ300,61694.0,61694.0,0.05,0.08,0.26,0.36,-1.2,0.03,1.03,1.05,0.89,0.74,1.0,0.81,0.95
ANG.JO,ANGLO GOLD ASHANTI,Precious Metals and Mining,207.0,0.0262,105762.12,511.7,STXRES,%5EJ300,53226.0,53226.0,-0.03,-0.02,-0.22,-0.29,2.19,0.05,1.05,1.09,1.28,1.4,1.03,1.16,1.64
ANH.JO,ANHEUSER-BUSCH INBEV,Beverages,51.0,0.0137,55204.04,1077.98,STXACW,%5EJ300,111450.0,111450.0,0.01,0.01,0.01,0.04,-0.23,0.02,1.02,1.05,0.93,,1.02,0.91,1.03
AOO.JO,African and Overseas,Retailers,,0.0,,,STXFIN,%5EJ300,16.25,16.25,-0.0,-0.0,inf,inf,,0.0,1.0,1.01,0.9,0.88,1.01,0.99,1.08
APN.JO,ASPEN,Pharmaceuticals & Biotechnology,261.0,0.0153,61449.02,235.44,STXFIN,%5EJ300,23308.0,23308.0,0.02,0.02,-0.1,-0.11,-1.16,0.01,1.01,1.0,0.91,1.05,1.0,1.0,1.26
ARI.JO,AFRICAN RAINBOW,Industrial Metals & Mining,69.0,0.0039,15716.37,228.71,STXRES,%5EJ300,19590.0,19590.0,0.03,0.02,-0.07,-0.08,-2.19,-0.03,0.97,0.93,0.95,0.98,0.88,0.86,1.21
ARL.JO,ASTRAL,Food Producers,25.0,0.0011,4349.38,171.85,STXFIN,%5EJ300,16849.0,16849.0,-0.02,-0.03,0.94,1.56,0.03,0.01,1.01,1.03,1.01,0.95,1.03,1.11,1.16
ART.JO,Argent,General Industrials,,0.0,,,STXFIN,%5EJ300,2305.0,2305.0,-0.01,-0.01,-0.1,-0.16,1.02,0.02,1.02,1.03,1.03,1.13,1.03,1.14,1.34
ATT.JO,ATTACQ,Real Estate Investment Trusts,465.0,0.0012,5037.97,10.84,STXPRO,%5EJ300,1125.0,1125.0,-0.02,-0.0,0.57,0.62,2.61,-0.0,1.0,1.05,1.0,1.03,1.05,1.06,1.18
AVI.JO,AVI LIMITED,Food Producers,224.0,0.0053,21544.49,95.99,STXFIN,%5EJ300,9832.0,9832.0,-0.02,-0.02,0.39,0.43,1.95,0.01,1.01,1.02,1.01,1.0,1.02,1.11,1.21
BAT.JO,Brait,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,88.0,88.0,0.23,0.57,4.9,3.73,0.49,-0.06,0.94,0.81,0.68,0.43,0.81,0.74,0.62
BAW.JO,BARWORLD,General Industrials,122.0,0.0027,10983.75,89.72,STXFIN,%5EJ300,9347.0,9347.0,-0.01,-0.0,0.15,-0.18,0.78,0.01,1.01,1.06,0.94,1.12,1.06,1.03,1.33
BCF.JO,Bowler Metcalf,General Industrials,,0.0,,,STXFIN,%5EJ300,1840.0,1840.0,-0.07,-0.18,inf,inf,1.15,0.13,1.13,1.69,1.53,1.47,1.69,1.68,1.69
BEL.JO,Bell,General Industrials,,0.0,,,STXFIN,%5EJ300,5020.0,5020.0,0.01,0.01,0.15,0.16,0.12,0.29,1.29,1.49,1.59,1.88,1.49,1.74,2.12
BHG.JO,BHP Group Limited,Industrial Metals & Mining,128.0,0.0168,67662.05,528.5,STXRES,%5EJ300,48880.0,48880.0,0.0,0.01,0.32,0.35,-1.14,-0.03,0.97,0.98,0.98,0.76,0.92,0.89,0.97
BID.JO,BID CORP LTD,Personal Care Drug and Grocery Stores,225.0,0.0237,95558.11,425.17,STXACW,%5EJ300,42700.0,42700.0,0.02,0.02,-0.22,-0.3,-1.99,0.02,1.02,1.06,0.98,,1.03,0.95,1.06
BIK.JO,Brikcor,Construction & Materials,,0.0,,,STXFIN,%5EJ300,16.0,16.0,-0.05,-0.05,inf,inf,2.92,0.02,1.02,1.15,1.1,0.94,1.16,1.21,1.14
BLU.JO,BLUE LABEL TELECOMS,Telecommunications Service Providers,330.0,0.0003,1401.32,4.24,STXFIN,%5EJ300,425.0,425.0,0.01,0.01,1.31,2.4,-1.6,0.03,1.03,1.0,0.89,1.05,1.01,0.98,1.26
BTI.JO,BRITISH AMERICAN TOBACCO PLC,Tobacco,175.0,0.0249,100481.37,575.34,STXACW,%5EJ300,65453.0,65453.0,-0.02,-0.03,-0.08,-0.12,1.06,0.06,1.06,1.17,1.16,,1.13,1.13,1.2
BTN.JO,Burstone Group Limited,Real Estate Investment Trusts,387.0,0.0007,2774.31,7.16,STXPRO,%5EJ300,789.0,789.0,-0.0,-0.0,0.84,1.02,2.06,0.04,1.04,1.03,1.06,0.89,1.03,1.13,1.04
BVT.JO,BIDVEST GROUP LIMITED,General Industrials,229.0,0.0162,65250.09,284.99,STXFIN,%5EJ300,26741.0,26741.0,-0.01,-0.01,0.22,0.28,-0.25,-0.02,0.98,0.98,0.91,1.02,0.98,1.0,1.23
BYI.JO,Bytes Technology Group,Software & Computer Services,34.0,0.001,4179.73,123.93,STXFIN,%5EJ300,10822.0,10822.0,0.03,0.03,1.99,2.17,-2.46,-0.05,0.95,0.94,0.79,0.65,0.95,0.87,0.85
CAC.JO,CAFCA,General Industrials,,0.0,,,STXFIN,%5EJ300,3.78,3.78,-0.64,-0.7,inf,inf,,-0.94,0.06,1.01,1.41,1.75,1.01,1.55,1.98
CAT.JO,Caxton,Media,,0.0,,,STXFIN,%5EJ300,1030.0,1030.0,-0.0,-0.0,1.89,2.07,0.52,0.0,1.0,1.04,0.92,0.88,1.04,1.01,1.08
CFR.JO,COMPAGNIE FINANCIERE,Personal Goods,40.0,0.0277,111535.13,2782.65,STXACW,%5EJ300,266633.0,266633.0,-0.0,-0.01,0.72,0.79,-1.44,-0.02,0.98,0.97,0.97,,0.94,0.95,1.0
CGN.JO,Cognition Holdings,Telecommunications Service Providers,,0.0,,,STXFIN,%5EJ300,1.03,1.03,67.18,69.69,inf,inf,-2.9,-0.05,0.95,,,,,,
CKS.JO,Crookes Brothers,Food Producers,,0.0,,,STXFIN,%5EJ300,3151.0,3151.0,0.06,0.04,inf,inf,-1.93,0.07,1.07,0.99,0.91,0.91,0.99,1.0,1.11
CL=F,Crude Oil Aug 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,,,,,,,,,0.94,0.88,0.9,0.96,0.96,1.11
CLH.JO,City Lodge,Travel & Leisure,,0.0,,,STXFIN,%5EJ300,420.0,420.0,0.02,0.02,2.35,2.75,-1.8,-0.01,0.99,0.95,0.92,0.78,0.96,1.01,0.98
CLI.JO,Clientele,Life Insurance,,0.0,,,STXFIN,%5EJ300,1045.0,1045.0,0.04,0.03,12.56,13.76,-1.92,0.02,1.02,1.0,0.87,0.8,1.0,0.96,1.0
CLS.JO,CLICKS GROUP,Personal Care Drug and Grocery Stores,161.0,0.0134,54039.71,336.6,STXFIN,%5EJ300,35231.0,35231.0,-0.0,0.0,0.01,0.01,1.03,0.01,1.01,1.03,1.02,1.07,1.03,1.12,1.28
CMH.JO,CMH Holdings,Retailers,,0.0,,,STXFIN,%5EJ300,2806.0,2806.0,-0.01,-0.01,0.09,0.09,0.39,-0.01,0.99,0.99,0.94,0.94,0.99,1.03,1.15
CML.JO,CORONATION MANAGER F,Investment Banking and Brokerage Service,160.0,0.0015,5993.41,37.35,STXFIN,%5EJ300,3684.0,3684.0,-0.0,-0.01,0.17,0.19,-1.11,0.02,1.02,0.99,1.01,1.03,0.99,1.11,1.24
COH.JO,CURRO HOLDINGS LTD,Consumer Services,328.0,0.001,3885.51,11.85,STXFIN,%5EJ300,1200.0,1200.0,-0.01,-0.01,-0.2,-0.22,0.01,0.03,1.03,1.04,1.01,0.93,1.04,1.11,1.14
CPI.JO,CAPITEC,Banks,58.0,0.0375999999999999,151537.4,2635.0,STXFIN,%5EJ300,276700.0,276700.0,0.01,0.01,0.36,0.45,-0.18,0.03,1.03,1.02,1.09,1.22,1.03,1.2,1.43
CSB.JO,CASHBUILD,Retailers,15.0,0.0006,2500.45,169.78,STXFIN,%5EJ300,14800.0,14800.0,0.06,0.05,-0.64,-0.7,-2.93,0.02,1.02,0.89,0.89,0.95,0.9,0.97,1.15
DCP.JO,DIS-CHEM,Personal Care Drug and Grocery Stores,291.0,0.0025,9882.11,33.95,STXFIN,%5EJ300,3587.0,3587.0,-0.0,0.01,0.31,0.34,0.92,0.02,1.02,1.08,0.95,1.09,1.08,1.04,1.3
DJP,iPath Bloomberg Commodity Index Total Return(SM) ETN,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,,,,,,,,,0.96,0.81,0.92,0.97,0.88,1.13
DLT.JO,Delta Property,Real Estate Investment Trusts,,0.0,,,STXPRO,%5EJ300,27.0,27.0,0.09,0.07,2.18,2.39,-2.82,0.14,1.14,0.98,0.83,1.4,0.98,0.89,1.54
