CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Next Week Volume Prediction,Next Month Volume Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
DRD.JO,DRDGOLD LTD,Precious Metals and Mining,282.0,0.0012,4834.76,17.13,STXRES,%5EJ300,1680.0,1680.0,0.01,-0.02,-0.22,-0.36,-1.84,0.05,1.05,1.03,1.14,1.1,0.98,1.03,1.33
DSY.JO,DISCOVERY,Life Insurance,362.0,0.0125,50248.07,138.7,STXFIN,%5EJ300,14054.0,14054.0,-0.02,-0.03,0.59,0.81,1.29,0.01,1.01,1.02,1.13,0.92,1.02,1.24,1.13
DTC.JO,DATATEC,Software & Computer Services,139.0,0.0013,5262.69,37.99,STXFIN,%5EJ300,3521.0,3521.0,-0.0,0.01,-0.42,-0.46,-0.23,-0.03,0.97,0.95,0.84,0.77,0.95,0.93,0.97
EMH.JO,E-Media,Media,,0.0,,,STXFIN,%5EJ300,328.0,328.0,-0.01,-0.01,inf,inf,0.97,0.06,1.06,1.01,0.88,0.82,1.01,0.96,1.02
EMI.JO,EMIRA,Real Estate Investment Trusts,153.0,0.0004,1708.05,11.18,STXPRO,%5EJ300,1106.0,1106.0,-0.0,-0.0,-0.11,-0.12,1.47,0.0,1.0,1.05,1.08,1.17,1.04,1.15,1.31
ENX.JO,ENX Group,General Industrials,,0.0,,,STXFIN,%5EJ300,526.0,526.0,0.05,0.05,-0.88,-0.96,-0.53,-0.2,0.8,1.11,0.5,0.51,1.11,0.55,0.71
EOH.JO,EOH,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,158.0,158.0,-0.04,-0.05,1.49,1.63,1.89,-0.01,0.99,1.04,1.05,1.18,1.05,1.15,1.39
EPE.JO,EPE Capital,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,402.0,402.0,0.01,0.02,1.47,1.61,0.77,-0.01,0.99,1.08,0.95,0.74,1.08,1.05,0.94
EQU.JO,EQUITES PROPERTY FUND LTD,Real Estate Investment Trusts,528.0,0.0018,7184.94,13.62,STXPRO,%5EJ300,1328.0,1328.0,-0.01,-0.01,0.97,1.27,1.6,-0.0,1.0,1.0,0.93,0.9,1.0,1.0,1.06
EXX.JO,EXXARO RESOURCES LTD,Oil & Gas and Coal,163.0,0.0078,31388.39,192.6,STXRES,%5EJ300,18414.0,18414.0,0.02,0.02,-0.31,-0.34,-1.99,0.03,1.03,1.0,1.08,0.89,0.95,0.98,1.11
FBR.JO,FAMOUS BRANDS LTD,Travel & Leisure,59.0,0.0008,3188.34,53.82,STXFIN,%5EJ300,5555.0,5555.0,-0.02,-0.02,0.78,0.82,1.76,0.01,1.01,1.05,0.97,0.86,1.05,1.07,1.06
FFB.JO,FORTRESS REIT LTD B,Real Estate Investment & Serv,804.0,0.0033,13204.0,16.42,STXPRO,%5EJ300,1732.0,1732.0,-0.01,-0.01,2.52,2.76,2.29,0.01,1.01,1.07,1.06,1.03,1.07,1.13,1.18
FGL.JO,Finbond Group,Finance and Credit Services,,0.0,,,STXFIN,%5EJ300,54.0,54.0,0.05,0.06,-0.88,-0.96,-1.41,-0.04,0.96,0.91,1.13,1.58,0.91,1.24,1.81
FSR.JO,FIRSTRAND,Banks,3415.0,0.0659,265419.61,77.72,STXFIN,%5EJ300,7975.0,7975.0,-0.01,-0.02,0.22,0.32,0.16,0.02,1.02,1.02,1.06,1.11,1.02,1.16,1.32
FTB.JO,FAIRVEST LIMITED B,Real Estate Investment Trusts,932.0,0.0009,3681.48,3.95,STXPRO,%5EJ300,419.0,419.0,-0.03,-0.05,15.85,27.34,1.84,0.01,1.01,1.07,1.08,1.06,1.07,1.15,1.21
FTH.JO,Frontier Transport,Industrial Transportation,,0.0,,,STXFIN,%5EJ300,740.0,740.0,0.01,-0.02,-0.88,-0.96,-1.96,0.06,1.06,1.04,1.18,1.1,1.05,1.29,1.31
GC=F,Gold Aug 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,,,,,,,,,1.01,0.91,1.07,1.02,1.0,1.28
GFI.JO,GOLDFIELDS LTD,Precious Metals and Mining,595.0,0.0421,169740.04,285.45,STXRES,%5EJ300,29083.0,29083.0,0.03,0.03,-0.11,-0.12,-1.95,0.06,1.06,1.06,1.02,0.97,1.01,0.93,1.19
GLN.JO,GLENCORE PLC,Industrial Metals & Mining,412.0,0.0113,45482.8,110.46,STXRES,%5EJ300,9400.0,9400.0,0.01,0.01,0.42,0.5,-1.12,-0.04,0.96,0.9,0.9,0.88,0.85,0.82,1.1
GND.JO,GRINDROD,Industrial Transportation,391.0,0.0015,6179.09,15.81,STXFIN,%5EJ300,1553.0,1553.0,-0.01,-0.01,0.25,0.28,-0.23,0.02,1.02,1.01,1.07,1.14,1.01,1.17,1.35
GPL.JO,Grand Parade Investements,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,370.0,370.0,-0.0,-0.02,inf,inf,0.65,0.03,1.03,1.1,0.98,1.12,1.1,1.07,1.33
GRT.JO,GROWTHPOINT,Real Estate Investment Trusts,2260.0,0.0069,27635.61,12.23,STXPRO,%5EJ300,1300.0,1300.0,-0.03,-0.03,0.39,0.43,2.04,0.0,1.0,1.06,1.1,1.03,1.06,1.17,1.17
HAR.JO,HARMONY GOLD MINING,Precious Metals and Mining,376.0,0.0165,66466.68,176.6,STXRES,%5EJ300,17461.0,17461.0,0.01,0.08,0.16,0.17,0.85,0.01,1.01,1.06,1.1,1.4,1.0,1.0,1.64
HCI.JO,HCI,Investment Banking and Brokerage Service,29.0,0.0013,5205.71,179.58,STXFIN,%5EJ300,18315.0,18315.0,-0.01,-0.02,0.95,1.19,-0.68,0.03,1.03,1.03,0.91,0.9,1.04,1.0,1.11
HDC.JO,HUDACO,Industrial Support Services,22.0,0.001,3884.65,179.5,STXFIN,%5EJ300,18190.0,18190.0,-0.01,-0.01,-0.26,-0.4,1.3,0.01,1.01,1.05,0.98,0.97,1.05,1.08,1.18
HG=F,Copper,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,,,,,,,,,0.88,0.71,0.92,0.9,0.78,1.13
HIL.JO,Homechoice,Retailers,,0.0,,,STXFIN,%5EJ300,2480.0,2480.0,-0.21,-0.3,-0.88,-0.96,0.87,0.05,1.05,100.21,0.89,0.99,100.45,0.98,1.2
HLM.JO,Hulamin,Construction & Materials,,0.0,,,STXFIN,%5EJ300,420.0,420.0,0.03,0.03,2.57,1.17,-1.23,0.05,1.05,1.0,1.08,1.16,1.0,1.18,1.37
HMN.JO,HAMMERSON PLC,Real Estate Investment Trusts,448.0,0.0008,3025.87,6.76,STXPRO,%5EJ300,633.0,633.0,0.02,0.02,-0.4,-0.58,-2.0,0.02,1.02,0.95,0.9,0.95,0.95,0.95,1.1
HUG.JO,Huge Group,Telecommunications Service Providers,,0.0,,,STXFIN,%5EJ300,205.0,205.0,0.05,0.07,-0.88,-0.96,-0.5,-0.03,0.97,0.95,0.77,0.88,0.96,0.84,1.08
HYP.JO,HYPROP,Real Estate Investment Trusts,248.0,0.002,8117.3,32.71,STXPRO,%5EJ300,3309.0,3309.0,-0.0,-0.0,-0.33,-0.39,1.63,0.0,1.0,1.05,1.06,0.94,1.04,1.14,1.09
IMP.JO,IMPLATS,Precious Metals and Mining,548.0,0.0129,51903.59,94.66,STXRES,%5EJ300,8250.0,8250.0,0.02,0.02,0.06,0.06,-1.78,-0.02,0.98,0.92,0.87,1.05,0.88,0.79,1.28
INL.JO,INVLTD,Banks,183.0,0.0062,25024.7,137.04,STXFIN,%5EJ300,13450.0,13450.0,0.02,0.02,0.16,0.17,-1.26,0.01,1.01,0.98,0.95,0.99,0.99,1.04,1.19
INP.JO,INVESTECP,Banks,258.0,0.0088,35454.65,137.36,STXFIN,%5EJ300,13374.0,13374.0,0.01,0.0,-0.24,-0.26,-1.62,0.02,1.02,0.97,0.93,0.97,0.97,1.03,1.18
ISA.JO,ISA Holdings,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,181.0,181.0,-0.01,-0.06,20.53,22.49,-0.93,-0.01,0.99,0.92,0.99,1.1,0.92,1.09,1.31
ISB.JO,Insimbi,General Industrials,,0.0,,,STXFIN,%5EJ300,75.0,75.0,-0.02,-0.02,-0.88,-0.96,-0.32,-0.02,0.98,0.95,0.71,0.69,0.95,0.78,0.89
ITE.JO,ITALTILE,Retailers,297.0,0.0009,3538.65,11.9,STXFIN,%5EJ300,1139.0,1139.0,0.02,0.02,-0.27,-0.3,-1.28,0.02,1.02,0.97,1.08,0.94,0.98,1.18,1.14
IVT.JO,Invicta,Capital Goods,,0.0,,,STXFIN,%5EJ300,3110.0,3110.0,0.01,0.01,-0.16,-0.18,-0.67,0.06,1.06,1.06,1.07,1.01,1.06,1.18,1.21
JSE.JO,JSE,Investment Banking and Brokerage Service,59.0,0.0016,6313.99,106.5,STXFIN,%5EJ300,10550.0,10550.0,0.0,0.0,1.29,1.79,0.23,-0.01,0.99,1.03,1.03,1.1,1.03,1.14,1.31
KAL.JO,KAL Group,Retailers,,0.0,,,STXFIN,%5EJ300,4750.0,4750.0,0.01,0.01,0.77,0.84,0.24,-0.01,0.99,1.01,0.98,0.98,1.01,1.07,1.19
KAP.JO,KAP INDUSTRIAL HOLDINGS LTD,General Industrials,1649.0,0.0012,4700.99,2.85,STXFIN,%5EJ300,289.0,289.0,0.01,0.0,-0.01,-0.02,-1.6,0.01,1.01,0.99,0.99,1.1,0.99,1.09,1.32
KIO.JO,KUMBA IRON ORE LTD,Industrial Metals & Mining,37.0,0.0042,16904.86,460.63,STXRES,%5EJ300,38553.0,38553.0,0.01,0.01,0.25,0.28,-0.99,-0.07,0.93,0.91,0.79,0.61,0.86,0.72,0.82
KST.JO,PSG KONSULT LTD,Investment Banking and Brokerage Service,697.0,0.0031,12360.01,17.74,STXFIN,%5EJ300,1630.0,1630.0,-0.0,-0.0,-0.39,-0.43,-1.04,-0.02,0.98,0.93,0.94,0.96,0.93,1.04,1.17
LBR.JO,Libstar Holdings,Food Producers,,0.0,,,STXFIN,%5EJ300,410.0,410.0,-0.04,-0.04,2.38,4.0,1.92,0.01,1.01,1.07,0.97,1.04,1.07,1.06,1.25
LEW.JO,Lewis,Retailers,,0.0,,,STXFIN,%5EJ300,5875.0,5875.0,-0.02,-0.03,-0.88,-0.96,1.68,0.0,1.0,1.06,1.17,1.21,1.06,1.28,1.43
LHC.JO,LIFE HEALTHCARE GROUP,Health Care Providers,957.0,0.003,12059.76,12.6,STXFIN,%5EJ300,1297.0,1297.0,0.03,0.07,-0.01,-0.01,-0.11,0.01,1.01,1.05,1.07,0.64,1.05,1.18,0.84
LTE.JO,LIGHTHOUSE CAPITAL LTD,Real Estate Investment & Serv,690.0,0.0014,5519.54,8.0,STXPRO,%5EJ300,821.0,821.0,-0.0,-0.0,6.61,9.02,1.05,0.0,1.0,1.05,0.95,1.0,1.05,1.01,1.15
MCG.JO,MULTICHOICE GROUP LTD,Telecommunications Service Providers,191.0,0.005,20039.83,104.8,STXFIN,%5EJ300,10750.0,10750.0,0.01,0.01,3.82,4.96,-1.62,0.02,1.02,1.0,0.83,0.9,1.0,0.91,1.11
MDI.JO,Master Drilling,Construction & Materials,,0.0,,,STXFIN,%5EJ300,1200.0,1200.0,-0.01,-0.01,-0.01,-0.01,0.66,-0.02,0.98,1.0,0.94,0.83,1.0,1.04,1.03
MFL.JO,Metrofile,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,250.0,250.0,-0.02,-0.01,inf,inf,1.1,-0.05,0.95,0.97,0.9,0.85,0.97,0.99,1.05
MKR.JO,Montauk Renewables Inc,Alternative Energy,27.0,0.0007,2657.53,97.54,STXFIN,%5EJ300,10000.0,10000.0,0.06,0.07,2.48,3.0,-1.52,0.03,1.03,0.98,1.0,0.73,0.98,1.1,0.93
MNP.JO,MONDI PLC,General Industrials,127.0,0.0111,44798.51,353.66,STXFIN,%5EJ300,33705.0,33705.0,0.0,0.01,0.75,1.07,-1.3,0.01,1.01,0.92,0.82,0.9,0.92,0.9,1.11
MPT.JO,Mpact,General Industrials,,0.0,,,STXFIN,%5EJ300,2920.0,2920.0,-0.0,-0.0,-0.88,-0.96,0.14,0.04,1.04,1.03,0.97,0.91,1.03,1.07,1.11
MRP.JO,MR PRICE GROUP LTD,Retailers,168.0,0.0083,33520.05,199.53,STXFIN,%5EJ300,21800.0,21800.0,-0.01,-0.01,0.07,0.08,1.48,0.02,1.02,1.07,1.06,1.14,1.07,1.16,1.36
MSP.JO,MAS REAL ESTATE INC,Real Estate Investment & Serv,301.0,0.0013,5388.85,17.91,STXPRO,%5EJ300,1751.0,1751.0,0.02,-0.01,-0.24,-0.26,-1.32,0.03,1.03,0.99,0.94,0.93,0.98,1.0,1.08
MST.JO,Mustek,Retailers,,0.0,,,STXFIN,%5EJ300,1250.0,1250.0,0.02,0.02,0.12,0.53,-0.08,0.13,1.13,1.33,1.34,0.87,1.33,1.47,1.08
MTA.JO,Metair Holdings,General Industrials,,0.0,,,STXFIN,%5EJ300,1293.0,1293.0,0.04,0.04,-0.07,-0.08,-1.79,0.1,1.1,1.02,1.09,0.89,1.03,1.2,1.09
MTH.JO,MOTUS HOLDINGS LTD,Retailers,99.0,0.0024,9726.47,98.72,STXFIN,%5EJ300,10380.0,10380.0,-0.01,-0.01,-0.01,-0.01,1.09,0.03,1.03,1.07,1.07,0.93,1.07,1.18,1.13
MTM.JO,MTM MOMENTUM METROPOLITAN HOLDINGS LTD,Life Insurance,779.0,0.0045,18106.79,23.25,STXFIN,%5EJ300,2640.0,2640.0,0.01,0.02,0.16,0.11,0.76,0.04,1.04,1.16,1.08,1.15,1.16,1.18,1.36
MTN.JO,MTN GROUP,Telecommunications Service Providers,1220.0,0.0249,100211.73,82.14,STXFIN,%5EJ300,8306.0,8306.0,-0.08,-0.08,-0.41,-0.56,3.17,-0.05,0.95,1.02,0.86,0.79,1.03,0.95,0.99
MUR.JO,Murray& Roberts,General Industrials,,0.0,,,STXFIN,%5EJ300,310.0,310.0,-0.0,0.02,1.74,1.9,1.16,0.14,1.14,1.36,1.83,2.48,1.36,2.01,2.73
N91.JO,Ninety One Plc,Investment Banking and Brokerage Service,123.0,0.0012,4909.47,39.88,STXFIN,%5EJ300,3854.0,3854.0,-0.0,-0.0,-0.18,-0.2,-0.98,-0.0,1.0,0.95,0.85,0.82,0.95,0.94,1.03
NED.JO,NEDBANK,Banks,307.0,0.0195,78607.14,255.82,STXFIN,%5EJ300,27972.0,27972.0,-0.01,-0.01,-0.09,-0.1,1.32,0.02,1.02,1.08,1.05,1.1,1.09,1.15,1.31
