CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
BVT.JO,BIDVEST GROUP LIMITED,General Industrials,229.0,0.0162,65250.09,284.99,STXFIN,%5EJ300,0,,,,,0.93,0.93,1.0,0.92,1.01,1.21
BYI.JO,Bytes Technology Group,Software & Computer Services,34.0,0.001,4179.73,123.93,STXFIN,%5EJ300,0,,,,,0.93,0.87,0.65,0.92,0.94,0.85
CAC.JO,CAFCA,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.01,1.43,1.79,1.01,1.56,2.02
CAT.JO,Caxton,Media,,0.0,,,STXFIN,%5EJ300,0,,,,,1.01,0.89,0.87,1.01,0.97,1.07
CFR.JO,COMPAGNIE FINANCIERE,Personal Goods,40.0,0.0277,111535.13,2782.65,STXACW,%5EJ300,0,,,,,1.02,1.0,,0.98,0.97,1.04
CGN.JO,Cognition Holdings,Telecommunications Service Providers,,0.0,,,STXFIN,%5EJ300,0,,,,,1.01,0.01,0.01,1.01,0.01,0.19
CKS.JO,Crookes Brothers,Food Producers,,0.0,,,STXFIN,%5EJ300,0,,,,,0.96,1.0,0.93,0.95,1.09,1.14
CL=F,Crude Oil Aug 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1,189.95,189.95,-1.0,-1.0,0.91,0.84,0.84,0.91,0.93,1.03
CLH.JO,City Lodge,Travel & Leisure,,0.0,,,STXFIN,%5EJ300,0,,,,,0.98,0.93,0.81,0.98,1.01,1.01
CLI.JO,Clientele,Life Insurance,,0.0,,,STXFIN,%5EJ300,0,,,,,1.08,0.96,0.88,1.07,1.05,1.09
CLS.JO,CLICKS GROUP,Personal Care Drug and Grocery Stores,161.0,0.0134,54039.71,336.6,STXFIN,%5EJ300,0,,,,,1.05,1.04,1.04,1.05,1.13,1.26
CMH.JO,CMH Holdings,Retailers,,0.0,,,STXFIN,%5EJ300,0,,,,,0.97,0.92,0.93,0.97,1.01,1.14
CML.JO,CORONATION MANAGER F,Investment Banking and Brokerage Service,160.0,0.0015,5993.41,37.35,STXFIN,%5EJ300,0,,,,,0.99,1.01,1.04,0.99,1.1,1.25
COH.JO,CURRO HOLDINGS LTD,Consumer Services,328.0,0.001,3885.51,11.85,STXFIN,%5EJ300,0,,,,,1.01,1.0,0.96,1.01,1.09,1.17
CPI.JO,CAPITEC,Banks,58.0,0.0375999999999999,151537.4,2635.0,STXFIN,%5EJ300,0,,,,,1.06,1.09,1.23,1.06,1.19,1.45
CSB.JO,CASHBUILD,Retailers,15.0,0.0006,2500.45,169.78,STXFIN,%5EJ300,0,,,,,0.94,0.92,0.94,0.94,1.01,1.15
DCP.JO,DIS-CHEM,Personal Care Drug and Grocery Stores,291.0,0.0025,9882.11,33.95,STXFIN,%5EJ300,0,,,,,1.06,0.97,1.07,1.06,1.06,1.28
DJP,iPath Bloomberg Commodity Index Total Return(SM) ETN,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1,337.33,337.33,-1.0,-1.0,0.94,0.82,0.91,0.94,0.9,1.11
DLT.JO,Delta Property,Real Estate Investment Trusts,,0.0,,,STXPRO,%5EJ300,0,,,,,1.29,2.0,1.91,1.28,2.1,2.03
DRD.JO,DRDGOLD LTD,Precious Metals and Mining,282.0,0.0012,4834.76,17.13,STXRES,%5EJ300,0,,,,,1.05,1.15,1.04,1.0,1.03,1.29
DSY.JO,DISCOVERY,Life Insurance,362.0,0.0125,50248.07,138.7,STXFIN,%5EJ300,0,,,,,1.0,1.06,0.92,1.0,1.16,1.12
DTC.JO,DATATEC,Software & Computer Services,139.0,0.0013,5262.69,37.99,STXFIN,%5EJ300,0,,,,,0.92,0.8,0.78,0.92,0.87,0.99
EMH.JO,E-Media,Media,,0.0,,,STXFIN,%5EJ300,0,,,,,1.01,0.86,0.95,1.01,0.94,1.16
