CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
RNI.JO,REINET INVESTMENTS SCA,Investment Banking and Brokerage Service,90.0,0.0102,40947.74,454.6,STXACW,%5EJ300,0,,,,,1.08,1.07,,1.04,1.03,1.1
RTN.JO,Rex Trueform,Retailers,,0.0,,,STXFIN,%5EJ300,0,,,,,0.01,0.01,0.01,0.01,0.01,0.19
S32.JO,SOUTH32 LTD,Industrial Metals & Mining,211.0,0.0024,9536.06,45.24,STXRES,%5EJ300,0,,,,,0.81,0.86,0.77,0.78,0.78,1.0
SAC.JO,SA CORP REAL ESTATE,Real Estate Investment Trusts,1638.0,0.0011,4405.85,2.69,STXPRO,%5EJ300,0,,,,,1.04,1.01,1.05,1.02,1.06,1.2
SAP.JO,SAPPI,Industrial Materials,402.0,0.0052,21047.59,52.42,STXFIN,%5EJ300,0,,,,,0.92,0.77,0.92,0.92,0.85,1.13
SB=F,Sugar futures,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1,331.51,331.51,-1.0,-1.0,0.94,0.86,0.71,0.93,0.95,0.91
SBK.JO,STANBANK,Banks,902.0,0.0475,191276.92,212.1,STXFIN,%5EJ300,0,,,,,1.04,1.07,0.98,1.04,1.16,1.19
SBP.JO,Sabvest,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,0,,,,,0.91,0.99,0.89,0.91,1.08,1.09
SDO.JO,Stadio,Consumer Services,,0.0,,,STXFIN,%5EJ300,0,,,,,1.05,1.06,0.99,1.05,1.16,1.2
SEB.JO,Sebata,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,0,,,,,0.92,0.48,0.36,0.92,0.52,0.55
SEP.JO,Sephaku,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.16,1.36,1.43,1.16,1.48,1.65
SFN.JO,Sasfin Holdings,Banks,,0.0,,,STXFIN,%5EJ300,0,,,,,1.49,1.46,1.13,1.49,1.59,1.34
SHC.JO,Shaftesbury Capital,Real Estate Investment Trusts,85.0,0.0007,2840.55,33.3,STXPRO,%5EJ300,0,,,,,1.02,1.01,1.0,1.01,1.06,1.15
SHG.JO,Sea Harvest,Food Producers,,0.0,,,STXFIN,%5EJ300,0,,,,,0.95,0.92,0.81,0.94,1.0,1.02
SHP.JO,SHOPRITE,Personal Care Drug and Grocery Stores,324.0,0.0232,93479.44,288.5,STXFIN,%5EJ300,0,,,,,1.02,1.02,1.0,1.02,1.11,1.21
SLM.JO,SANLAM,Life Insurance,1174.0,0.0239,96405.72,82.14,STXFIN,%5EJ300,0,,,,,0.96,1.0,0.98,0.96,1.09,1.19
SNT.JO,SANTAM,Nonlife Insurance,27.0,0.0022,8910.41,329.66,STXFIN,%5EJ300,0,,,,,0.97,0.95,0.96,0.97,1.04,1.17
SNV.JO,Santova,Industrial Transportation,,0.0,,,STXFIN,%5EJ300,0,,,,,1.05,0.95,0.91,1.04,1.04,1.11
SOH.JO,South Ocean Holdings,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.15,1.77,2.29,1.15,1.93,2.54
SOL.JO,SASOL,Chemicals,393.0,0.0139,56069.17,142.6,STXFIN,%5EJ300,0,,,,,0.95,0.88,0.81,0.94,0.96,1.01
SPG.JO,SUPER GROUP,Industrial Transportation,216.0,0.0016,6338.94,29.32,STXFIN,%5EJ300,0,,,,,1.03,0.95,0.95,1.03,1.04,1.16
SPP.JO,SPAR,Personal Care Drug and Grocery Stores,131.0,0.0038,15476.19,118.5,STXFIN,%5EJ300,0,,,,,1.02,1.05,0.94,1.02,1.14,1.15
SRE.JO,SIRIUS REAL ESTATE LTD,Real Estate Investment Trusts,269.0,0.0015,5931.54,22.05,STXPRO,%5EJ300,0,,,,,1.03,0.92,1.02,1.01,0.96,1.18
SSK.JO,Stefanutti Stocks,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.13,2.36,1.94,1.13,2.57,2.18
SSS.JO,STOR-AGE PROPERTY REIT LTD,Real Estate Investment Trusts,258.0,0.0009,3445.07,13.35,STXPRO,%5EJ300,0,,,,,1.01,0.91,0.89,1.0,0.96,1.04
SSU.JO,Southern Sun LTD,Travel & Leisure,545.0,0.0008,3092.42,5.67,STXFIN,%5EJ300,0,,,,,1.05,1.0,1.01,1.05,1.1,1.22
SSW.JO,Sibanye Stillwater Ltd,Precious Metals and Mining,1902.0,0.0101,40659.72,21.38,STXRES,%5EJ300,0,,,,,0.92,0.9,0.8,0.88,0.81,1.03
STX40.JO,Satrix 40,ETF,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,,,
STXACW.JO,SATRIX MSCI ACWI,ETF,,0.0,,,STXACW,%5EJ300,0,,,,,1.0,1.0,,0.96,0.97,
STXCAP.JO,Satrix Capped All Share,ETF,,0.0,,,%5EJ300,%5EJ300,0,,,,,1.0,0.99,0.99,1.0,0.99,1.18
STXFIN.JO,Satrix FINI,ETF,,0.0,,,STXFIN,%5EJ300,0,,,,,1.0,1.0,1.0,1.0,1.09,1.21
STXGOV.JO,Satrix SA Bond,ETF,,0.0,,,STXGOV,%5EJ300,0,,,,,1.0,1.0,1.0,1.02,1.07,1.15
STXMMT.JO,Satrix Momentum EFT,ETF,,0.0,,,STXMMT,%5EJ300,0,,,,,1.0,1.0,1.0,0.99,1.01,1.18
STXPRO.JO,Satrix Property,ETF,,0.0,,,STXPRO,%5EJ300,0,,,,,1.0,1.0,1.0,0.99,1.05,1.15
STXRES.JO,Satrix Resources 10,ETF,,0.0,,,STXRES,%5EJ300,0,,,,,1.0,1.0,1.0,0.95,0.9,1.25
SUI.JO,SUN INT LTD,Travel & Leisure,118.0,0.0011,4462.67,37.68,STXFIN,%5EJ300,0,,,,,1.0,0.94,0.81,0.99,1.02,1.02
SUR.JO,Spur,Travel & Leisure,,0.0,,,STXFIN,%5EJ300,0,,,,,1.03,1.01,1.04,1.03,1.1,1.25
SYG.JO,Sygnia,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,0,,,,,1.01,0.85,0.96,1.01,0.92,1.17
TBS.JO,TIGBRANDS,Food Producers,106.0,0.0056,22486.02,212.0,STXFIN,%5EJ300,0,,,,,1.05,0.98,0.95,1.05,1.07,1.16
TCP.JO,TRANSACTION CAPITAL LTD,Finance and Credit Services,409.0,0.0003,1187.33,2.9,STXFIN,%5EJ300,0,,,,,0.98,0.84,0.33,0.97,0.91,0.53
TFG.JO,THE FOSCHINI GROUP LTD,Retailers,218.0,0.007,28406.89,130.07,STXFIN,%5EJ300,0,,,,,1.03,1.16,1.08,1.03,1.27,1.3
TGA.JO,Thungela Resources Ltd,Oil & Gas and Coal,75.0,0.0021,8536.44,113.76,STXRES,%5EJ300,0,,,,,1.12,0.96,0.87,1.07,0.86,1.11
TKG.JO,TELKOM,Telecommunications Service Providers,190.0,0.0011,4533.15,23.86,STXFIN,%5EJ300,0,,,,,0.97,0.83,0.73,0.96,0.9,0.93
TPC.JO,Transpaco,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.15,1.08,1.06,1.14,1.18,1.27
TRE.JO,Trencor,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.02,0.93,0.92,1.01,1.01,1.13
TRL.JO,Trellidor,General Industrials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.09,1.19,0.9,1.09,1.3,1.11
TRU.JO,TRUWORTHS,Retailers,250.0,0.0057,23005.52,91.97,STXFIN,%5EJ300,0,,,,,0.97,1.03,1.04,0.97,1.12,1.25
TSG.JO,TSOGO SUN GAMING LIMITED,Travel & Leisure,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,0,,,,,0.98,0.89,0.86,0.98,0.97,1.07
VKE.JO,VUKILE,Real Estate Investment Trusts,667.0,0.0027,10820.81,16.22,STXPRO,%5EJ300,0,,,,,1.04,1.02,1.03,1.03,1.07,1.18
VOD.JO,VODACOM GROUP LIMITED,Telecommunications Service Providers,405.0,0.0097,39057.97,96.52,STXFIN,%5EJ300,0,,,,,1.02,0.94,0.94,1.02,1.02,1.15
VUN.JO,Vunani,Finance and Credit Services,,0.0,,,STXFIN,%5EJ300,0,,,,,0.97,0.85,0.66,0.97,0.92,0.86
WBC.JO,We Buy Cars,Retailers,134.0,0.0009,3458.25,25.8,STXFIN,%5EJ300,0,,,,,1.03,1.12,,1.02,1.22,
WBO.JO,WBHOVCO,Construction & Materials,37.0,0.0016,6490.17,175.0,STXFIN,%5EJ300,0,,,,,1.03,1.14,1.18,1.03,1.24,1.39
WHL.JO,Woolworths,Retailers,603.0,0.0091,36597.49,60.69,STXFIN,%5EJ300,0,,,,,0.97,0.86,0.78,0.96,0.94,0.98
WKF.JO,Workforce,Support Services,,0.0,,,STXFIN,%5EJ300,0,,,,,91.32,113.17,0.84,91.16,123.47,1.05
XC=F,Mini-Corn Futures,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1,7332.54,7332.54,-1.0,-1.0,0.99,0.78,0.85,0.99,0.85,1.05
XRH0.L,db Physical Rhodium ETC,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1,1327.51,1327.51,-1.0,-1.0,0.92,0.62,0.95,0.92,0.68,1.15
YRK.JO,York Timber,Industrial Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,1.2,1.13,1.07,1.2,1.23,1.28
ZED.JO,Zeder,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,0,,,,,1.07,0.96,1.01,1.07,1.05,1.22
ZZD.JO,Zeda,Retailers,,0.0,,,STXFIN,%5EJ300,0,,,,,0.92,0.87,0.86,0.92,0.95,1.06
