code,share_name,industry,sub_industry,rsi_comparison_market,rsi_comparison_sector,commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
4SI.JO,4Sight Holdings Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,75.0,75.0,-0.79,-0.89,0.73,0.01,1.01,1.04,0.86,0.79,1.08,0.95,0.98
ABG.JO,Absa Group Limited,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,15589.0,15589.0,-0.09,0.29,0.83,-0.01,0.99,0.95,0.88,0.83,0.99,0.97,1.03
ACT.JO,AfroCentric Inv Corp Ltd,Healthcare,Healthcare Providers,%5EJ300.JO,STXFIN.JO,False,276.0,276.0,-0.79,-0.76,0.44,-0.01,0.99,1.0,0.86,0.78,1.04,0.95,0.97
ADH.JO,ADvTECH Ltd,Consumer Discrescretionary,Consumer Services,%5EJ300.JO,STXFIN.JO,False,3060.0,3060.0,-0.01,0.02,2.02,0.0,1.0,0.96,0.99,0.99,1.0,1.1,1.19
ADR.JO,Adcorp Holdings Limited,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,426.0,426.0,-0.86,-0.89,-1.55,0.06,1.06,1.06,1.0,0.97,1.1,1.11,1.17
ADW.JO,African Dawn Capital Ltd,Financials,Finance and Credit Services,%5EJ300.JO,STXFIN.JO,False,0.09,0.09,-1.0,-1.0,-0.32,-0.63,0.37,0.01,0.01,0.01,0.01,0.01,0.19
AEG.JO,Aveng Group Limited,Industrials,Construction Materials,%5EJ300.JO,STXFIN.JO,False,978.0,978.0,-1.02,-1.44,2.81,0.07,1.07,1.23,1.49,1.13,1.28,1.65,1.33
AEL.JO,Altron Limited,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,1720.0,1720.0,-0.51,-0.8,1.38,0.06,1.06,1.09,1.32,1.56,1.13,1.46,1.77
AFE.JO,AECI Limited,Basic Materials,Chemicals,%5EJ300.JO,STXFIN.JO,False,10647.0,10647.0,-0.16,-0.23,2.4,-0.02,0.98,0.95,0.97,0.99,0.99,1.07,1.19
AFH.JO,Alexander Forbes Grp Hldgs,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,655.0,655.0,-0.12,-0.22,-0.84,-0.01,0.99,0.96,0.95,0.96,1.0,1.05,1.16
AFT.JO,Afrimat Limited,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,6320.0,6320.0,-0.2,-0.28,-1.21,-0.04,0.96,0.97,1.04,0.9,0.9,0.93,1.13
AGL.JO,Anglo American plc,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,50765.0,50765.0,-0.36,-0.42,-1.18,-0.03,0.97,0.98,0.9,1.04,0.92,0.8,1.27
AHL.JO,AH-Vest Limited,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,0.1,0.1,-0.86,-0.49,-0.32,-0.62,0.38,0.01,0.55,0.54,0.01,0.61,0.73
AIL.JO,African Rainbow Cap Inv,Financials,Closed end Investments,%5EJ300.JO,STXFIN.JO,False,581.0,581.0,-0.42,-0.53,-2.43,-0.0,1.0,0.84,0.9,1.03,0.88,1.0,1.24
AIP.JO,Adcock Ingram Hldgs Ltd,Healthcare,Pharmaceuticals and Biotechnology,%5EJ300.JO,STXFIN.JO,False,5671.0,5671.0,-0.05,0.44,-0.75,-0.02,0.98,0.91,0.91,0.95,0.95,1.0,1.15
AME.JO,African Media Ent Ltd,Consumer Discrescretionary,Media,%5EJ300.JO,STXFIN.JO,False,4100.0,4100.0,-0.29,-0.24,-0.66,0.04,1.04,1.0,1.08,1.19,1.04,1.2,1.39
AMS.JO,Anglo American Plat Ltd,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,64159.0,64159.0,-0.78,-0.9,-0.06,0.03,1.03,1.1,0.95,0.8,1.03,0.85,1.03
ANG.JO,AngloGold Ashanti plc,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,55091.0,55091.0,-0.14,-0.36,1.64,0.02,1.02,1.1,1.3,1.4,1.02,1.16,1.66
ANH.JO,Anheuser-Busch InBev SA NV,Consumer Staples,Beverages,%5EJ300.JO,STXACW.JO,False,108535.0,108535.0,-0.69,-0.78,-1.34,0.01,1.01,0.99,0.89,,0.95,0.88,0.98
APN.JO,Aspen Pharmacare Hldgs Ltd,Healthcare,Pharmaceuticals and Biotechnology,%5EJ300.JO,STXFIN.JO,False,22869.0,22869.0,-0.47,-0.24,-0.97,0.01,1.01,0.93,0.87,1.02,0.96,0.96,1.22
ARA.JO,Astoria Investments Ltd,Financials,Closed end Investments,%5EJ300.JO,STXFIN.JO,False,780.0,780.0,-0.88,-0.99,0.81,-0.01,0.99,0.98,0.98,0.78,1.02,1.08,0.97
ARI.JO,African Rainbow Min Ltd,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,18867.0,18867.0,-0.19,0.2,-1.57,-0.06,0.94,0.89,0.88,0.95,0.83,0.78,1.18
ARL.JO,Astral Foods Ltd,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,17132.0,17132.0,-0.36,-0.4,1.36,0.01,1.01,0.98,0.99,0.98,1.02,1.09,1.18
ART.JO,Argent Industrial Ltd,Industrials,Industrial Support Services,%5EJ300.JO,STXFIN.JO,False,2500.0,2500.0,-0.07,-0.18,2.41,0.03,1.03,1.06,1.08,1.25,1.1,1.19,1.46
ASC.JO,Ascendis Health Ltd,Healthcare,Pharmaceuticals and Biotechnology,%5EJ300.JO,STXFIN.JO,False,72.0,72.0,-0.98,-0.9,1.03,-0.05,0.95,0.86,,,0.89,,
AVI.JO,AVI Ltd,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,9804.0,9804.0,0.04,0.32,0.98,0.0,1.0,0.96,0.97,0.98,0.99,1.07,1.18
AYO.JO,Ayo Tech Solutions Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,54.0,54.0,-0.99,-0.99,-0.34,-0.13,0.87,0.98,1.13,0.67,1.01,1.25,0.86
BAT.JO,Brait plc,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,86.0,86.0,-0.97,-0.89,-0.4,-0.07,0.93,0.83,0.66,0.42,0.87,0.73,0.61
BAW.JO,Barloworld Ltd,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,9306.0,9306.0,-0.33,-0.61,0.28,0.03,1.03,1.01,0.94,1.21,1.05,1.04,1.42
BCF.JO,Bowler Metcalf Ltd,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,1840.0,1840.0,0.17,1.68,0.85,0.17,1.17,1.57,1.49,1.55,1.63,1.65,1.76
BHG.JO,BHP Group Limited,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,47463.0,47463.0,-0.56,-0.61,-1.97,-0.04,0.96,0.97,0.93,0.74,0.9,0.83,0.96
