CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,Sector RSI 1m,Sector RSI 3m,Sector RSI 6m,Market RSI 1m,Market RSI 3m,Market RSI 6m
MKR.JO,Montauk Renewables Inc,Alternative Energy,27.0,0.0007,2657.53,97.54,STXFIN,%5EJ300,0,,,,,,,,1.05,1.24,0.78,1.04,1.35,0.98
ABG.JO,ABSA GROUP LTD,Banks,558.0,0.0216,87133.85,156.18,STXFIN,%5EJ300,0,,,,,,,,1.0,0.94,0.86,1.0,1.02,1.07
CPI.JO,CAPITEC,Banks,58.0,0.0375999999999999,151537.4,2635.0,STXFIN,%5EJ300,0,,,,,,,,1.03,1.07,1.2,1.03,1.16,1.42
FSR.JO,FIRSTRAND,Banks,3415.0,0.0659,265419.61,77.72,STXFIN,%5EJ300,0,,,,,,,,1.05,1.09,1.08,1.04,1.18,1.3
INP.JO,INVESTECP,Banks,258.0,0.0088,35454.65,137.36,STXFIN,%5EJ300,0,,,,,,,,1.05,1.02,1.05,1.05,1.11,1.27
INL.JO,INVLTD,Banks,183.0,0.0062,25024.7,137.04,STXFIN,%5EJ300,0,,,,,,,,1.04,1.02,1.04,1.04,1.11,1.26
NED.JO,NEDBANK,Banks,307.0,0.0195,78607.14,255.82,STXFIN,%5EJ300,0,,,,,,,,1.04,1.03,1.09,1.04,1.12,1.31
SFN.JO,Sasfin Holdings,Banks,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.46,1.51,1.09,1.46,1.64,1.31
SBK.JO,STANBANK,Banks,902.0,0.0475,191276.92,212.1,STXFIN,%5EJ300,0,,,,,,,,1.04,1.05,0.97,1.03,1.15,1.19
ANH.JO,ANHEUSER-BUSCH INBEV,Beverages,51.0,0.0137,55204.04,1077.98,STXACW,%5EJ300,0,,,,,,,,1.0,0.97,,0.99,0.94,1.04
IVT.JO,Invicta,Capital Goods,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.17,1.06,1.07,1.17,1.16,1.29
AFE.JO,AECI,Chemicals,73.0,0.002,7907.98,107.79,STXFIN,%5EJ300,0,,,,,,,,0.93,0.96,0.93,0.93,1.05,1.14
OMN.JO,OMNIA,Chemicals,115.0,0.002,7991.29,69.54,STXFIN,%5EJ300,0,,,,,,,,0.93,1.08,0.92,0.93,1.17,1.13
SOL.JO,SASOL,Chemicals,393.0,0.0139,56069.17,142.6,STXFIN,%5EJ300,0,,,,,,,,0.99,0.94,0.81,0.99,1.02,1.02
AEG.JO,Aveng,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.16,1.25,1.08,1.16,1.36,1.29
BIK.JO,Brikcor,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,0.93,0.94,0.73,0.93,1.02,0.94
HLM.JO,Hulamin,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.09,1.13,1.23,1.08,1.23,1.45
MDI.JO,Master Drilling,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,0.97,0.86,0.82,0.97,0.93,1.03
PPC.JO,PPC,Construction & Materials,857.0,0.0008,3221.73,3.76,STXFIN,%5EJ300,0,,,,,,,,0.96,1.01,0.89,0.96,1.1,1.11
RBX.JO,RAUBEX GROUP LTD,Construction & Materials,115.0,0.0013,5362.68,46.5,STXFIN,%5EJ300,0,,,,,,,,1.04,1.29,1.39,1.04,1.4,1.62
SEP.JO,Sephaku,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,0.99,1.31,1.48,0.99,1.43,1.71
SSK.JO,Stefanutti Stocks,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.2,1.94,1.96,1.2,2.11,2.21
WBO.JO,WBHOVCO,Construction & Materials,37.0,0.0016,6490.17,175.0,STXFIN,%5EJ300,0,,,,,,,,1.07,1.12,1.21,1.07,1.23,1.43
ADH.JO,ADVTECH,Consumer Services,351.0,0.0026,10526.51,29.95,STXFIN,%5EJ300,0,,,,,,,,1.03,1.0,0.99,1.03,1.09,1.2
COH.JO,CURRO HOLDINGS LTD,Consumer Services,328.0,0.001,3885.51,11.85,STXFIN,%5EJ300,0,,,,,,,,1.04,0.99,0.9,1.03,1.08,1.11
SDO.JO,Stadio,Consumer Services,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.04,1.01,0.96,1.03,1.1,1.18
