CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,Sector RSI 1m,Sector RSI 3m,Sector RSI 6m,Market RSI 1m,Market RSI 3m,Market RSI 6m
MKR.JO,Montauk Renewables Inc,Alternative Energy,27.0,0.0007,2657.53,97.54,STXFIN,%5EJ300,0,,,,,,,,1.02,1.22,0.76,1.01,1.32,0.96
ABG.JO,ABSA GROUP LTD,Banks,558.0,0.0216,87133.85,156.18,STXFIN,%5EJ300,0,,,,,,,,0.99,0.93,0.84,0.98,1.01,1.04
CPI.JO,CAPITEC,Banks,58.0,0.0375999999999999,151537.4,2635.0,STXFIN,%5EJ300,0,,,,,,,,1.05,1.06,1.2,1.04,1.14,1.41
FSR.JO,FIRSTRAND,Banks,3415.0,0.0659,265419.61,77.72,STXFIN,%5EJ300,0,,,,,,,,1.04,1.07,1.09,1.03,1.16,1.3
INP.JO,INVESTECP,Banks,258.0,0.0088,35454.65,137.36,STXFIN,%5EJ300,0,,,,,,,,1.04,0.99,1.04,1.03,1.07,1.25
INL.JO,INVLTD,Banks,183.0,0.0062,25024.7,137.04,STXFIN,%5EJ300,0,,,,,,,,1.04,1.0,1.02,1.03,1.08,1.23
NED.JO,NEDBANK,Banks,307.0,0.0195,78607.14,255.82,STXFIN,%5EJ300,0,,,,,,,,1.04,1.05,1.1,1.04,1.13,1.31
SFN.JO,Sasfin Holdings,Banks,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.45,1.39,1.07,1.44,1.5,1.28
SBK.JO,STANBANK,Banks,902.0,0.0475,191276.92,212.1,STXFIN,%5EJ300,0,,,,,,,,1.03,1.04,0.98,1.02,1.13,1.18
ANH.JO,ANHEUSER-BUSCH INBEV,Beverages,51.0,0.0137,55204.04,1077.98,STXACW,%5EJ300,0,,,,,,,,0.99,0.93,,0.96,0.9,0.97
IVT.JO,Invicta,Capital Goods,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.14,1.03,1.03,1.13,1.11,1.24
AFE.JO,AECI,Chemicals,73.0,0.002,7907.98,107.79,STXFIN,%5EJ300,0,,,,,,,,0.94,0.96,0.93,0.93,1.04,1.14
OMN.JO,OMNIA,Chemicals,115.0,0.002,7991.29,69.54,STXFIN,%5EJ300,0,,,,,,,,0.91,1.06,0.9,0.9,1.14,1.1
SOL.JO,SASOL,Chemicals,393.0,0.0139,56069.17,142.6,STXFIN,%5EJ300,0,,,,,,,,0.98,0.94,0.82,0.97,1.02,1.03
AEG.JO,Aveng,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.15,1.24,1.05,1.14,1.34,1.26
BIK.JO,Brikcor,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,0.92,0.93,0.71,0.91,1.0,0.91
HLM.JO,Hulamin,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.11,1.16,1.25,1.1,1.26,1.46
MDI.JO,Master Drilling,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,0.99,0.9,0.84,0.98,0.98,1.04
PPC.JO,PPC,Construction & Materials,857.0,0.0008,3221.73,3.76,STXFIN,%5EJ300,0,,,,,,,,0.97,0.99,0.88,0.96,1.07,1.08
RBX.JO,RAUBEX GROUP LTD,Construction & Materials,115.0,0.0013,5362.68,46.5,STXFIN,%5EJ300,0,,,,,,,,1.0,1.29,1.38,0.99,1.4,1.6
SEP.JO,Sephaku,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,0.97,1.33,1.43,0.96,1.44,1.65
SSK.JO,Stefanutti Stocks,Construction & Materials,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.18,1.92,1.95,1.17,2.08,2.19
WBO.JO,WBHOVCO,Construction & Materials,37.0,0.0016,6490.17,175.0,STXFIN,%5EJ300,0,,,,,,,,1.05,1.12,1.17,1.04,1.21,1.38
ADH.JO,ADVTECH,Consumer Services,351.0,0.0026,10526.51,29.95,STXFIN,%5EJ300,0,,,,,,,,1.0,0.96,1.0,0.99,1.04,1.21
COH.JO,CURRO HOLDINGS LTD,Consumer Services,328.0,0.001,3885.51,11.85,STXFIN,%5EJ300,0,,,,,,,,0.97,0.96,0.88,0.97,1.04,1.09
SDO.JO,Stadio,Consumer Services,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.06,1.02,1.0,1.05,1.11,1.21
RLO.JO,REUNERT,Electronics & Electrical Equipment,105.0,0.0019,7577.53,72.39,STXFIN,%5EJ300,0,,,,,,,,0.96,0.93,1.02,0.95,1.0,1.23
STX40.JO,Satrix 40,ETF,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,0.99,0.91,0.97,0.98,0.98,1.17
STXCAP.JO,Satrix Capped All Share,ETF,,0.0,,,%5EJ300,%5EJ300.JO,0,,,,,,,,1.0,0.99,1.0,,,
STXFIN.JO,Satrix FINI,ETF,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.0,1.0,1.0,0.99,1.08,1.21
STXMMT.JO,Satrix Momentum EFT,ETF,,0.0,,,STXMMT,%5EJ300,0,,,,,,,,1.0,1.0,1.0,1.0,1.01,1.17
STXACW.JO,SATRIX MSCI ACWI,ETF,,0.0,,,STXACW,%5EJ300,0,,,,,,,,1.0,1.0,,0.98,0.97,
STXRES.JO,Satrix Resources 10,ETF,,0.0,,,STXRES,%5EJ300,0,,,,,,,,1.0,1.0,1.0,0.98,0.95,1.25
STXPRO.JO,Satrix Property,ETF,,0.0,,,STXPRO,%5EJ300,0,,,,,,,,1.0,1.0,1.0,0.95,1.0,1.11
STXGOV.JO,Satrix SA Bond,ETF,,0.0,,,STXGOV,%5EJ300,0,,,,,,,,1.0,1.0,1.0,1.0,1.02,1.11
FGL.JO,Finbond Group,Finance and Credit Services,,0.0,,,STXFIN,%5EJ300,0,,,,,,,,1.02,1.21,1.7,1.01,1.31,1.93
TCP.JO,TRANSACTION CAPITAL LTD,Finance and Credit Services,409.0,0.0003,1187.33,2.9,STXFIN,%5EJ300,0,,,,,,,,0.94,0.79,0.31,0.94,0.85,0.49
