code,share_name,industry,sub_industry,rsi_comparison_market,rsi_comparison_sector,commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
4SI.JO,4Sight Holdings Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,70.0,70.0,-0.79,-0.89,-1.36,0.0,1.0,0.88,0.82,0.76,0.91,0.9,0.97
ABG.JO,Absa Group Limited,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,16852.0,16852.0,-0.01,0.32,2.78,-0.01,0.99,0.97,0.92,0.89,1.0,1.01,1.1
ACT.JO,AfroCentric Inv Corp Ltd,Healthcare,Healthcare Providers,%5EJ300.JO,STXFIN.JO,False,285.0,285.0,-0.76,-0.72,1.63,-0.0,1.0,0.99,0.92,0.81,1.02,1.01,1.02
ADH.JO,ADvTECH Ltd,Consumer Discrescretionary,Consumer Services,%5EJ300.JO,STXFIN.JO,False,3125.0,3125.0,-0.0,0.02,2.18,0.0,1.0,0.96,0.99,0.99,0.99,1.09,1.2
ADR.JO,Adcorp Holdings Limited,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,489.0,489.0,-0.83,-0.88,1.04,0.05,1.05,1.03,1.08,1.15,1.06,1.19,1.36
ADW.JO,African Dawn Capital Ltd,Financials,Finance and Credit Services,%5EJ300.JO,STXFIN.JO,False,0.09,0.09,-1.0,-1.0,,-0.79,0.21,0.01,0.01,0.01,0.01,0.01,0.19
AEG.JO,Aveng Group Limited,Industrials,Construction Materials,%5EJ300.JO,STXFIN.JO,False,1027.0,1027.0,-1.02,-1.44,1.89,0.08,1.08,1.12,1.47,1.15,1.16,1.62,1.37
AEL.JO,Altron Limited,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,1725.0,1725.0,-0.5,-0.8,1.26,0.05,1.05,1.03,1.21,1.54,1.06,1.33,1.77
AFE.JO,AECI Limited,Basic Materials,Chemicals,%5EJ300.JO,STXFIN.JO,False,10744.0,10744.0,-0.13,-0.22,1.85,-0.01,0.99,0.93,0.93,0.96,0.96,1.03,1.18
AFH.JO,Alexander Forbes Grp Hldgs,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,671.0,671.0,-0.1,-0.21,0.42,-0.0,1.0,1.0,0.98,1.01,1.03,1.08,1.22
AFT.JO,Afrimat Limited,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,6414.0,6414.0,-0.2,-0.27,-0.37,-0.04,0.96,0.92,0.99,0.86,0.89,0.89,1.08
AGL.JO,Anglo American plc,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,51812.0,51812.0,-0.35,-0.4,0.13,-0.03,0.97,0.98,0.86,1.0,0.94,0.78,1.23
AHL.JO,AH-Vest Limited,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,0.1,0.1,-0.86,-0.49,,-0.78,0.22,0.01,0.53,0.53,0.01,0.59,0.73
AIL.JO,African Rainbow Cap Inv,Financials,Closed end Investments,%5EJ300.JO,STXFIN.JO,False,630.0,630.0,-0.38,-0.49,-0.47,-0.0,1.0,0.88,0.94,1.08,0.91,1.03,1.3
AIP.JO,Adcock Ingram Hldgs Ltd,Healthcare,Pharmaceuticals and Biotechnology,%5EJ300.JO,STXFIN.JO,False,5701.0,5701.0,-0.04,0.44,-0.09,-0.02,0.98,0.93,0.9,0.93,0.96,1.0,1.14
AME.JO,African Media Ent Ltd,Consumer Discrescretionary,Media,%5EJ300.JO,STXFIN.JO,False,4100.0,4100.0,-0.3,-0.24,-0.69,0.04,1.04,0.99,1.05,1.11,1.02,1.16,1.33
AMS.JO,Anglo American Plat Ltd,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,70013.0,70013.0,-0.74,-0.84,2.33,0.02,1.02,1.09,0.99,0.8,1.05,0.9,1.01
ANG.JO,AngloGold Ashanti plc,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,56538.0,56538.0,-0.12,-0.34,1.6,0.03,1.03,1.09,1.31,1.35,1.05,1.18,1.59
ANH.JO,Anheuser-Busch InBev SA NV,Consumer Staples,Beverages,%5EJ300.JO,STXACW.JO,False,108093.0,108093.0,-0.69,-0.78,-1.17,0.0,1.0,0.98,0.9,0.88,0.92,0.85,0.96
APN.JO,Aspen Pharmacare Hldgs Ltd,Healthcare,Pharmaceuticals and Biotechnology,%5EJ300.JO,STXFIN.JO,False,23235.0,23235.0,-0.45,-0.22,-0.13,0.0,1.0,0.91,0.87,1.01,0.94,0.96,1.23
ARA.JO,Astoria Investments Ltd,Financials,Closed end Investments,%5EJ300.JO,STXFIN.JO,False,800.0,800.0,-0.88,-0.98,1.15,-0.0,1.0,0.99,0.97,0.79,1.02,1.07,0.99
ARI.JO,African Rainbow Min Ltd,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,19045.0,19045.0,-0.19,0.2,-0.83,-0.07,0.93,0.87,0.86,0.96,0.84,0.78,1.18
