CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
ANG.JO,ANGLO GOLD ASHANTI,Precious Metals and Mining,207.0,0.0262,105762.12,511.7,STXRES,%5EJ300,53226.0,1.09,1.28,1.4,1.03,1.16,1.65
ANH.JO,ANHEUSER-BUSCH INBEV,Beverages,51.0,0.0137,55204.04,1077.98,STXACW,%5EJ300,111450.0,1.05,0.93,,1.02,0.91,1.03
AOO.JO,African and Overseas,Retailers,,0.0,,,STXFIN,%5EJ300,16.25,1.01,0.9,0.88,1.01,0.99,1.08
APN.JO,ASPEN,Pharmaceuticals & Biotechnology,261.0,0.0153,61449.02,235.44,STXFIN,%5EJ300,23308.0,1.0,0.91,1.05,1.0,1.0,1.26
ARI.JO,AFRICAN RAINBOW,Industrial Metals & Mining,69.0,0.0039,15716.37,228.71,STXRES,%5EJ300,19590.0,0.93,0.95,1.02,0.88,0.86,1.25
ARL.JO,ASTRAL,Food Producers,25.0,0.0011,4349.38,171.85,STXFIN,%5EJ300,16849.0,1.03,1.01,0.95,1.03,1.11,1.16
ART.JO,Argent,General Industrials,,0.0,,,STXFIN,%5EJ300,2305.0,1.05,1.06,1.16,1.06,1.17,1.37
ATT.JO,ATTACQ,Real Estate Investment Trusts,465.0,0.0012,5037.97,10.84,STXPRO,%5EJ300,1125.0,1.05,1.0,1.06,1.05,1.06,1.21
AVI.JO,AVI LIMITED,Food Producers,224.0,0.0053,21544.49,95.99,STXFIN,%5EJ300,9832.0,1.02,1.01,1.02,1.02,1.11,1.23
BAT.JO,Brait,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,88.0,0.81,0.67,0.43,0.81,0.74,0.62
BAW.JO,BARWORLD,General Industrials,122.0,0.0027,10983.75,89.72,STXFIN,%5EJ300,9347.0,1.06,0.96,1.15,1.06,1.05,1.36
BCF.JO,Bowler Metcalf,General Industrials,,0.0,,,STXFIN,%5EJ300,1840.0,1.69,1.53,1.5,1.69,1.68,1.73
BEL.JO,Bell,General Industrials,,0.0,,,STXFIN,%5EJ300,5020.0,1.49,1.59,1.88,1.49,1.74,2.12
BHG.JO,BHP Group Limited,Industrial Metals & Mining,128.0,0.0168,67662.05,528.5,STXRES,%5EJ300,48880.0,0.98,0.98,0.78,0.92,0.89,0.99
BID.JO,BID CORP LTD,Personal Care Drug and Grocery Stores,225.0,0.0237,95558.11,425.17,STXACW,%5EJ300,42700.0,1.06,0.98,,1.03,0.95,1.07
BIK.JO,Brikcor,Construction & Materials,,0.0,,,STXFIN,%5EJ300,16.0,1.15,1.1,0.94,1.16,1.21,1.14
BLU.JO,BLUE LABEL TELECOMS,Telecommunications Service Providers,330.0,0.0003,1401.32,4.24,STXFIN,%5EJ300,425.0,1.0,0.89,1.05,1.01,0.98,1.26
BTI.JO,BRITISH AMERICAN TOBACCO PLC,Tobacco,175.0,0.0249,100481.37,575.34,STXACW,%5EJ300,65453.0,1.17,1.18,,1.13,1.16,1.26
BTN.JO,Burstone Group Limited,Real Estate Investment Trusts,387.0,0.0007,2774.31,7.16,STXPRO,%5EJ300,789.0,1.03,1.13,0.94,1.03,1.2,1.09
BVT.JO,BIDVEST GROUP LIMITED,General Industrials,229.0,0.0162,65250.09,284.99,STXFIN,%5EJ300,26741.0,0.98,0.91,1.04,0.98,1.0,1.25
BYI.JO,Bytes Technology Group,Software & Computer Services,34.0,0.001,4179.73,123.93,STXFIN,%5EJ300,10822.0,0.96,0.8,0.66,0.96,0.88,0.86
CAC.JO,CAFCA,General Industrials,,0.0,,,STXFIN,%5EJ300,3.78,1.01,1.41,1.75,1.01,1.55,1.98
CAT.JO,Caxton,Media,,0.0,,,STXFIN,%5EJ300,1030.0,1.04,0.92,0.88,1.04,1.01,1.08
CFR.JO,COMPAGNIE FINANCIERE,Personal Goods,40.0,0.0277,111535.13,2782.65,STXACW,%5EJ300,266633.0,0.97,0.97,,0.94,0.95,1.0
CKS.JO,Crookes Brothers,Food Producers,,0.0,,,STXFIN,%5EJ300,3151.0,1.06,0.97,0.97,1.06,1.07,1.18
CL=F,Crude Oil Aug 24,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,0.96,0.89,0.89,0.96,0.96,1.09
CLH.JO,City Lodge,Travel & Leisure,,0.0,,,STXFIN,%5EJ300,420.0,0.95,0.91,0.79,0.96,1.01,0.99
CLI.JO,Clientele,Life Insurance,,0.0,,,STXFIN,%5EJ300,1045.0,1.0,0.87,0.8,1.0,0.96,1.0
CLS.JO,CLICKS GROUP,Personal Care Drug and Grocery Stores,161.0,0.0134,54039.71,336.6,STXFIN,%5EJ300,35231.0,1.03,1.03,1.07,1.03,1.13,1.29
CMH.JO,CMH Holdings,Retailers,,0.0,,,STXFIN,%5EJ300,2806.0,0.99,1.02,1.03,0.99,1.12,1.24
CML.JO,CORONATION MANAGER F,Investment Banking and Brokerage Service,160.0,0.0015,5993.41,37.35,STXFIN,%5EJ300,3684.0,0.99,1.07,1.09,0.99,1.17,1.3
COH.JO,CURRO HOLDINGS LTD,Consumer Services,328.0,0.001,3885.51,11.85,STXFIN,%5EJ300,1200.0,1.04,1.01,0.94,1.04,1.11,1.15
CPI.JO,CAPITEC,Banks,58.0,0.0375999999999999,151537.4,2635.0,STXFIN,%5EJ300,276700.0,1.02,1.09,1.24,1.03,1.2,1.45
CSB.JO,CASHBUILD,Retailers,15.0,0.0006,2500.45,169.78,STXFIN,%5EJ300,14800.0,0.89,0.89,0.97,0.9,0.97,1.18
DCP.JO,DIS-CHEM,Personal Care Drug and Grocery Stores,291.0,0.0025,9882.11,33.95,STXFIN,%5EJ300,3587.0,1.08,0.96,1.09,1.08,1.05,1.31
DJP,iPath Bloomberg Commodity Index Total Return(SM) ETN,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,0.96,0.81,0.92,0.97,0.88,1.13
DLT.JO,Delta Property,Real Estate Investment Trusts,,0.0,,,STXPRO,%5EJ300,27.0,0.98,0.83,1.4,0.98,0.89,1.54
DRD.JO,DRDGOLD LTD,Precious Metals and Mining,282.0,0.0012,4834.76,17.13,STXRES,%5EJ300,1680.0,1.03,1.14,1.11,0.98,1.03,1.34
DSY.JO,DISCOVERY,Life Insurance,362.0,0.0125,50248.07,138.7,STXFIN,%5EJ300,14054.0,1.02,1.13,0.93,1.02,1.24,1.13
