CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
SNV.JO,Santova,Industrial Transportation,,0.0,,,STXFIN,%5EJ300,770.0,1.0,0.92,0.88,1.0,1.01,1.08
SOH.JO,South Ocean Holdings,General Industrials,,0.0,,,STXFIN,%5EJ300,265.0,1.05,1.65,2.02,1.05,1.82,2.25
SOL.JO,SASOL,Chemicals,393.0,0.0139,56069.17,142.6,STXFIN,%5EJ300,13023.0,0.96,0.88,0.77,0.96,0.97,0.97
SPG.JO,SUPER GROUP,Industrial Transportation,216.0,0.0016,6338.94,29.32,STXFIN,%5EJ300,2954.0,1.0,0.95,0.93,1.0,1.04,1.14
SPP.JO,SPAR,Personal Care Drug and Grocery Stores,131.0,0.0038,15476.19,118.5,STXFIN,%5EJ300,12169.0,1.02,1.07,0.97,1.02,1.18,1.18
SRE.JO,SIRIUS REAL ESTATE LTD,Real Estate Investment Trusts,269.0,0.0015,5931.54,22.05,STXPRO,%5EJ300,2209.0,1.0,0.9,1.03,1.0,0.96,1.18
SSK.JO,Stefanutti Stocks,Construction & Materials,,0.0,,,STXFIN,%5EJ300,276.0,0.9,2.08,2.02,0.9,2.29,2.26
SSS.JO,STOR-AGE PROPERTY REIT LTD,Real Estate Investment Trusts,258.0,0.0009,3445.07,13.35,STXPRO,%5EJ300,1335.0,1.01,0.97,0.92,1.01,1.03,1.07
SSU.JO,Southern Sun LTD,Travel & Leisure,545.0,0.0008,3092.42,5.67,STXFIN,%5EJ300,616.0,1.11,1.09,1.1,1.11,1.2,1.31
SSW.JO,Sibanye Stillwater Ltd,Precious Metals and Mining,1902.0,0.0101,40659.72,21.38,STXRES,%5EJ300,1790.0,0.9,0.82,0.72,0.85,0.75,0.93
STX40.JO,Satrix 40,ETF,,0.0,,,STXFIN,%5EJ300,7409.0,0.99,0.9,0.97,0.99,0.99,1.18
STXACW.JO,SATRIX MSCI ACWI,ETF,,0.0,,,STXACW,%5EJ300,7538.0,1.0,1.0,,0.97,0.98,
STXCAP.JO,Satrix Capped All Share,ETF,,0.0,,,%5EJ300,%5EJ300,3999.0,1.0,1.01,1.01,1.0,1.01,1.19
STXFIN.JO,Satrix FINI,ETF,,0.0,,,STXFIN,%5EJ300,1936.0,1.0,1.0,1.0,1.0,1.1,1.21
STXGOV.JO,Satrix SA Bond,ETF,,0.0,,,STXGOV,%5EJ300,845.0,1.0,1.0,1.0,1.02,1.07,1.13
STXMMT.JO,Satrix Momentum EFT,ETF,,0.0,,,STXMMT,%5EJ300,1344.0,1.0,1.0,1.0,1.0,1.01,1.19
STXPRO.JO,Satrix Property,ETF,,0.0,,,STXPRO,%5EJ300,1030.0,1.0,1.0,1.0,1.0,1.07,1.15
STXRES.JO,Satrix Resources 10,ETF,,0.0,,,STXRES,%5EJ300,6109.0,1.0,1.0,1.0,0.95,0.91,1.22
SUI.JO,SUN INT LTD,Travel & Leisure,118.0,0.0011,4462.67,37.68,STXFIN,%5EJ300,3852.0,1.04,1.0,0.85,1.04,1.1,1.06
SUR.JO,Spur,Travel & Leisure,,0.0,,,STXFIN,%5EJ300,3400.0,1.0,1.02,0.99,1.01,1.12,1.2
SYG.JO,Sygnia,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,2045.0,0.98,0.91,1.01,0.99,1.0,1.22
TBS.JO,TIGBRANDS,Food Producers,106.0,0.0056,22486.02,212.0,STXFIN,%5EJ300,22178.0,1.07,0.99,0.95,1.07,1.08,1.16
TCP.JO,TRANSACTION CAPITAL LTD,Finance and Credit Services,409.0,0.0003,1187.33,2.9,STXFIN,%5EJ300,291.0,1.0,0.96,0.29,1.0,1.05,0.48
TFG.JO,THE FOSCHINI GROUP LTD,Retailers,218.0,0.007,28406.89,130.07,STXFIN,%5EJ300,13096.0,0.99,1.13,1.09,1.0,1.25,1.3
TGA.JO,Thungela Resources Ltd,Oil & Gas and Coal,75.0,0.0021,8536.44,113.76,STXRES,%5EJ300,12400.0,1.18,1.05,1.0,1.11,0.95,1.23
TKG.JO,TELKOM,Telecommunications Service Providers,190.0,0.0011,4533.15,23.86,STXFIN,%5EJ300,2405.0,1.0,0.89,0.78,1.01,0.98,0.98
TPC.JO,Transpaco,General Industrials,,0.0,,,STXFIN,%5EJ300,3216.0,1.05,0.98,0.88,1.05,1.07,1.08
TRE.JO,Trencor,General Industrials,,0.0,,,STXFIN,%5EJ300,740.0,1.06,0.92,0.91,1.06,1.02,1.12
TRL.JO,Trellidor,General Industrials,,0.0,,,STXFIN,%5EJ300,166.0,0.99,0.99,0.89,0.99,1.09,1.1
TRU.JO,TRUWORTHS,Retailers,250.0,0.0057,23005.52,91.97,STXFIN,%5EJ300,8985.0,0.98,1.0,1.09,0.98,1.1,1.31
TSG.JO,TSOGO SUN GAMING LIMITED,Travel & Leisure,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,1123.0,1.03,0.91,0.91,1.03,1.0,1.12
VKE.JO,VUKILE,Real Estate Investment Trusts,667.0,0.0027,10820.81,16.22,STXPRO,%5EJ300,1680.0,1.05,1.05,1.07,1.05,1.12,1.22
VOD.JO,VODACOM GROUP LIMITED,Telecommunications Service Providers,405.0,0.0097,39057.97,96.52,STXFIN,%5EJ300,9985.0,1.03,0.98,0.97,1.03,1.08,1.18
VUN.JO,Vunani,Finance and Credit Services,,0.0,,,STXFIN,%5EJ300,200.0,0.95,0.73,0.66,0.95,0.8,0.86
WBC.JO,We Buy Cars,Retailers,134.0,0.0009,3458.25,25.8,STXFIN,%5EJ300,2613.0,1.04,1.01,,1.05,1.11,
WBO.JO,WBHOVCO,Construction & Materials,37.0,0.0016,6490.17,175.0,STXFIN,%5EJ300,18134.0,1.07,1.12,1.22,1.07,1.24,1.44
WHL.JO,Woolworths,Retailers,603.0,0.0091,36597.49,60.69,STXFIN,%5EJ300,6082.0,1.02,0.88,0.81,1.02,0.97,1.02
WKF.JO,Workforce,Support Services,,0.0,,,STXFIN,%5EJ300,125.0,90.14,1.11,68.67,90.37,1.22,70.78
XC=F,Mini-Corn Futures,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,1.0,0.78,0.86,1.0,0.85,1.06
XRH0.L,db Physical Rhodium ETC,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,,0.98,0.69,0.94,1.0,0.76,1.13
YRK.JO,York Timber,Industrial Materials,,0.0,,,STXFIN,%5EJ300,212.0,1.14,1.12,1.06,1.14,1.23,1.28
ZED.JO,Zeder,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,190.0,0.98,0.96,1.15,0.99,1.06,1.36
ZZD.JO,Zeda,Retailers,,0.0,,,STXFIN,%5EJ300,1185.0,0.99,0.92,0.91,0.99,1.01,1.12
