code,share_name,industry,sub_industry,rsi_comparison_market,rsi_comparison_sector,commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
4SI.JO,4Sight Holdings Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,70.0,70.0,-0.79,-0.89,-1.23,0.0,1.0,0.82,0.76,0.77,0.84,0.84,0.97
ABG.JO,Absa Group Limited,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,16803.0,16803.0,-0.0,0.32,2.46,-0.01,0.99,0.97,0.94,0.89,1.0,1.03,1.1
ACT.JO,AfroCentric Inv Corp Ltd,Healthcare,Healthcare Providers,%5EJ300.JO,STXFIN.JO,False,266.0,266.0,-0.81,-0.79,-1.29,-0.0,1.0,0.97,0.88,0.85,0.99,0.97,1.05
ADH.JO,ADvTECH Ltd,Consumer Discrescretionary,Consumer Services,%5EJ300.JO,STXFIN.JO,False,3150.0,3150.0,0.0,0.02,2.11,0.0,1.0,0.99,1.01,1.02,1.02,1.12,1.22
ADR.JO,Adcorp Holdings Limited,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,481.0,481.0,-0.83,-0.89,0.73,0.04,1.04,1.02,0.98,1.11,1.05,1.08,1.32
ADW.JO,African Dawn Capital Ltd,Financials,Finance and Credit Services,%5EJ300.JO,STXFIN.JO,False,0.09,0.09,-1.0,-1.0,,-0.85,0.15,0.01,0.01,0.01,0.01,0.01,0.18
AEG.JO,Aveng Group Limited,Industrials,Construction Materials,%5EJ300.JO,STXFIN.JO,False,937.0,937.0,-1.02,-1.44,0.85,0.08,1.08,1.09,1.4,1.16,1.12,1.54,1.37
AEL.JO,Altron Limited,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,1754.0,1754.0,-0.49,-0.8,1.51,0.05,1.05,1.0,1.15,1.5,1.02,1.27,1.72
AFE.JO,AECI Limited,Basic Materials,Chemicals,%5EJ300.JO,STXFIN.JO,False,10727.0,10727.0,-0.13,-0.22,1.63,-0.01,0.99,1.05,0.93,0.98,1.07,1.03,1.18
AFH.JO,Alexander Forbes Grp Hldgs,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,675.0,675.0,-0.1,-0.21,0.68,-0.0,1.0,0.93,0.95,0.94,0.96,1.04,1.14
AFT.JO,Afrimat Limited,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,6427.0,6427.0,-0.2,-0.27,-0.2,-0.05,0.95,0.94,0.98,0.91,0.9,0.89,1.14
