code,share_name,industry,sub_industry,rsi_comparison_market,rsi_comparison_sector,commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
CAT.JO,Caxton CTP Publish Print,Consumer Discrescretionary,Media,%5EJ300.JO,STXFIN.JO,False,1043.0,1043.0,-1.0,-1.0,1.22,0.01,1.01,0.97,0.89,0.87,1.0,0.99,1.07
CFR.JO,Compagnie Fin Richemont,Consumer Discrescretionary,Personal Goods,%5EJ300.JO,STXACW.JO,False,274050.0,274050.0,-1.0,-1.0,0.82,-0.02,0.98,1.01,0.94,,0.95,0.93,1.02
CKS.JO,Crookes Brothers Ltd,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,3151.0,3151.0,-1.0,-1.0,-0.97,0.06,1.06,0.92,0.94,0.98,0.95,1.03,1.18
CLH.JO,City Lodge Hotels Ltd,Consumer Discrescretionary,Travel and Leisure,%5EJ300.JO,STXFIN.JO,False,430.0,430.0,-1.0,-1.0,0.29,-0.01,0.99,0.95,0.92,0.78,0.98,1.02,0.98
CLI.JO,Clientele Ltd,Financials,Life Insurance,%5EJ300.JO,STXFIN.JO,False,1100.0,1100.0,-1.0,-1.0,0.37,0.01,1.01,0.95,0.89,0.8,0.98,0.98,0.99
CLS.JO,Clicks Group Ltd,Consumer Staples,"Personal Care, Drug and Grocery Stores",%5EJ300.JO,STXFIN.JO,False,35787.0,35787.0,-1.0,-1.0,1.43,0.02,1.02,1.01,1.06,1.05,1.04,1.17,1.25
CMH.JO,Combined Motor Hldgs Ltd,Consumer Discrescretionary,Retailers,%5EJ300.JO,STXFIN.JO,False,3037.0,3037.0,-1.0,-1.0,2.61,-0.0,1.0,1.03,1.08,1.11,1.06,1.19,1.31
CML.JO,Coronation Fund Mngrs Ld,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,3760.0,3760.0,-1.0,-1.0,1.67,-0.0,1.0,0.94,1.06,1.1,0.97,1.17,1.3
COH.JO,Curro Holdings Limited,Consumer Discrescretionary,Consumer Services,%5EJ300.JO,STXFIN.JO,False,1205.0,1205.0,-1.0,-1.0,0.75,0.01,1.01,0.97,0.99,0.94,1.0,1.09,1.14
CPI.JO,Capitec Bank Hldgs Ltd,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,282600.0,282600.0,-1.0,-1.0,1.22,0.02,1.02,1.01,1.11,1.23,1.04,1.22,1.43
CSB.JO,Cashbuild Ltd,Consumer Discrescretionary,Retailers,%5EJ300.JO,STXFIN.JO,False,14600.0,14600.0,-1.0,-1.0,-1.0,-0.02,0.98,0.86,0.9,0.9,0.89,0.99,1.1
DCP.JO,Dis-Chem Pharmacies Ltd,Consumer Staples,"Personal Care, Drug and Grocery Stores",%5EJ300.JO,STXFIN.JO,False,3582.0,3582.0,-1.0,-1.0,0.7,0.03,1.03,1.03,0.96,1.08,1.06,1.06,1.28
DNB.JO,Deneb Investments Ltd,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,230.0,230.0,-1.0,-1.0,-0.64,0.02,1.02,1.0,0.93,0.93,1.03,1.03,1.13
DRA.JO,DRA Global Ltd,Industrials,Construction Materials,%5EJ300.JO,STXFIN.JO,False,2200.0,2200.0,-1.0,-1.0,-1.44,0.04,1.04,0.98,0.79,0.92,1.01,0.87,1.12
DSY.JO,Discovery Ltd,Financials,Life Insurance,%5EJ300.JO,STXFIN.JO,False,14639.0,14639.0,-1.0,-1.0,2.8,0.01,1.01,1.03,1.11,0.95,1.06,1.23,1.15
DTC.JO,Datatec Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,3510.0,3510.0,-1.0,-1.0,0.11,-0.01,0.99,0.95,0.85,0.79,0.98,0.94,0.98
EMH.JO,E Media Holdings Ltd,Consumer Discrescretionary,Media,%5EJ300.JO,STXFIN.JO,False,316.0,316.0,-1.0,-1.0,-0.75,0.0,1.0,1.06,0.97,1.02,1.1,1.07,1.22
ENX.JO,enX Group LImited,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,569.0,569.0,-1.0,-1.0,1.4,0.05,1.05,1.04,0.98,1.03,1.07,1.08,1.23
EOH.JO,EOH Holdings Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,175.0,175.0,-1.0,-1.0,2.57,-0.0,1.0,1.05,1.09,1.36,1.08,1.21,1.57
EPE.JO,EPE Capital Partners Ltd,Financials,Closed end Investments,%5EJ300.JO,STXFIN.JO,False,410.0,410.0,-1.0,-1.0,0.52,0.0,1.0,0.97,0.96,0.75,1.0,1.06,0.94
EXX.JO,Exxaro Resources Ltd,Energy,Oil Gas and Coal,%5EJ300.JO,STXFIN.JO,False,17490.0,17490.0,-1.0,-1.0,-2.56,0.0,1.0,0.89,0.87,0.91,0.92,0.96,1.11
FBR.JO,Famous Brands Ltd,Consumer Discrescretionary,Travel and Leisure,%5EJ300.JO,STXFIN.JO,False,5633.0,5633.0,-1.0,-1.0,1.27,0.03,1.03,1.05,0.99,0.91,1.08,1.09,1.11
FSR.JO,Firstrand Ltd,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,8268.0,8268.0,-1.0,-1.0,2.76,0.02,1.02,1.01,1.06,1.14,1.05,1.17,1.34
FTH.JO,Frontier Transport Hldg Ld,Consumer Discrescretionary,Travel and Leisure,%5EJ300.JO,STXFIN.JO,False,762.0,762.0,-1.0,-1.0,0.2,0.03,1.03,0.88,1.02,1.03,0.91,1.12,1.23
GFI.JO,Gold Fields Ltd,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,28936.0,28936.0,-1.0,-1.0,-0.49,0.02,1.02,0.99,1.04,0.95,0.91,0.92,1.16
GLN.JO,Glencore plc,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,9450.0,9450.0,-1.0,-1.0,-0.37,-0.06,0.94,0.92,0.9,0.87,0.85,0.79,1.07
GND.JO,Grindrod Ltd,Industrials,Industrial Transportation,%5EJ300.JO,STXFIN.JO,False,1546.0,1546.0,-1.0,-1.0,-0.13,0.0,1.0,0.94,0.98,1.14,0.97,1.08,1.35
GPL.JO,Grand Parade Inv Ltd,Consumer Discrescretionary,Travel and Leisure,%5EJ300.JO,STXFIN.JO,False,350.0,350.0,-1.0,-1.0,-0.98,0.04,1.04,1.05,0.99,1.14,1.09,1.09,1.34
